STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,sectfund,Source of funds,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,BES,Business enterprise sector,C25,"Manufacture of fabricated metal products, except machinery and equipment",MIO_EUR,Million euro,FR,France,2016,,533.011,,,,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,BES,Business enterprise sector,C25,"Manufacture of fabricated metal products, except machinery and equipment",MIO_EUR,Million euro,FR,France,2017,,436.486,,p,provisional,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,BES,Business enterprise sector,C25,"Manufacture of fabricated metal products, except machinery and equipment",MIO_EUR,Million euro,FR,France,2018,,,,,,C,confidential
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,BES,Business enterprise sector,C25,"Manufacture of fabricated metal products, except machinery and equipment",MIO_EUR,Million euro,FR,France,2019,,,,,,C,confidential
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,BES,Business enterprise sector,C25-C30,"Manufacture of fabricated metal products, computer, electronic and optical products, electrical equipment, machinery, motor vehicles and other transport equipment",MIO_EUR,Million euro,FR,France,2016,,8629.084,,,,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,BES,Business enterprise sector,C25-C30,"Manufacture of fabricated metal products, computer, electronic and optical products, electrical equipment, machinery, motor vehicles and other transport equipment",MIO_EUR,Million euro,FR,France,2017,,8608.27,,p,provisional,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,BES,Business enterprise sector,C25-C30,"Manufacture of fabricated metal products, computer, electronic and optical products, electrical equipment, machinery, motor vehicles and other transport equipment",MIO_EUR,Million euro,FR,France,2018,,,,,,C,confidential
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,BES,Business enterprise sector,C25-C30,"Manufacture of fabricated metal products, computer, electronic and optical products, electrical equipment, machinery, motor vehicles and other transport equipment",MIO_EUR,Million euro,FR,France,2019,,,,,,C,confidential
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,BES,Business enterprise sector,C26,"Manufacture of computer, electronic and optical products",MIO_EUR,Million euro,FR,France,2016,,2518.945,,,,,
dataflow,ESTAT:RD_E_BERDFUNDR2(1.0),BERD by NACE Rev. 2 activity and source of funds,A,Annual,BES,Business enterprise sector,C26,"Manufacture of computer, electronic and optical products",MIO_EUR,Million euro,FR,France,2017,,2555.123,,p,provisional,,
