STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Frequency,reporter,REPORTER,partner,PARTNER,product,PRODUCT,flow,FLOW,indicators,INDICATORS,TIME_PERIOD,TIME_PERIOD,OBS_VALUE,Observation Value
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2002,,6470341,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2003,,7304252,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2004,,10538082,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2005,,6834556,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2006,,7799464,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2007,,8013410,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2008,,9375920,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2009,,6520725,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2010,,6982086,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2011,,9339974,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2012,,11444134,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2013,,8877107,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2014,,6384144,
dataflow,ESTAT:DS-059341(1.0),International trade of EU and non-EU countries since 2002 by HS2-4-6,A,Annual,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",CN,China,850710,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excl. spent)",1,IMPORT,VALUE_EUR,VALUE_EUR,2015,,8444230,
